f1,std_dev,learning_rate,n_estimators
0.660,0.019,0.1,5
0.660,0.019,0.1,10
0.656,0.023,0.1,25
0.652,0.019,0.1,50
0.652,0.019,0.1,100
0.660,0.019,0.25,5
0.653,0.019,0.25,10
0.651,0.018,0.25,25
0.652,0.018,0.25,50
0.653,0.018,0.25,100
0.640,0.045,0.5,5
0.653,0.019,0.5,10
0.651,0.016,0.5,25
0.652,0.019,0.5,50
0.651,0.019,0.5,100
0.653,0.019,0.75,5
0.652,0.018,0.75,10
0.652,0.019,0.75,25
0.652,0.020,0.75,50
0.650,0.020,0.75,100
0.653,0.019,1,5
0.652,0.017,1,10
0.653,0.021,1,25
0.652,0.020,1,50
0.650,0.021,1,100
