recall,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.500,0.041,gini,2,1,2
0.498,0.053,gini,2,1,5
0.496,0.088,gini,2,1,10
0.524,0.049,gini,2,1,20
0.493,0.068,gini,2,5,2
0.513,0.041,gini,2,5,5
0.526,0.054,gini,2,5,10
0.519,0.064,gini,2,5,20
0.508,0.113,gini,2,10,2
0.505,0.069,gini,2,10,5
0.513,0.119,gini,2,10,10
0.530,0.067,gini,2,10,20
0.517,0.040,gini,2,20,2
0.519,0.062,gini,2,20,5
0.522,0.084,gini,2,20,10
0.505,0.056,gini,2,20,20
0.545,0.062,gini,5,1,2
0.546,0.059,gini,5,1,5
0.554,0.092,gini,5,1,10
0.470,0.038,gini,5,1,20
0.509,0.150,gini,5,5,2
0.587,0.080,gini,5,5,5
0.548,0.093,gini,5,5,10
0.547,0.108,gini,5,5,20
0.516,0.070,gini,5,10,2
0.503,0.066,gini,5,10,5
0.572,0.063,gini,5,10,10
0.555,0.058,gini,5,10,20
0.546,0.087,gini,5,20,2
0.508,0.056,gini,5,20,5
0.510,0.049,gini,5,20,10
0.553,0.121,gini,5,20,20
0.529,0.071,gini,10,1,2
0.524,0.012,gini,10,1,5
0.538,0.089,gini,10,1,10
0.516,0.093,gini,10,1,20
0.557,0.049,gini,10,5,2
0.528,0.073,gini,10,5,5
0.537,0.040,gini,10,5,10
0.567,0.069,gini,10,5,20
0.538,0.076,gini,10,10,2
0.546,0.023,gini,10,10,5
0.542,0.053,gini,10,10,10
0.577,0.056,gini,10,10,20
0.556,0.028,gini,10,20,2
0.535,0.083,gini,10,20,5
0.543,0.129,gini,10,20,10
0.548,0.045,gini,10,20,20
0.476,0.058,gini,15,1,2
0.468,0.028,gini,15,1,5
0.464,0.032,gini,15,1,10
0.469,0.049,gini,15,1,20
0.494,0.061,gini,15,5,2
0.475,0.074,gini,15,5,5
0.503,0.050,gini,15,5,10
0.504,0.037,gini,15,5,20
0.492,0.053,gini,15,10,2
0.485,0.021,gini,15,10,5
0.497,0.056,gini,15,10,10
0.476,0.031,gini,15,10,20
0.498,0.037,gini,15,20,2
0.497,0.028,gini,15,20,5
0.483,0.050,gini,15,20,10
0.495,0.062,gini,15,20,20
0.316,0.032,gini,None,1,2
0.310,0.039,gini,None,1,5
0.323,0.033,gini,None,1,10
0.348,0.042,gini,None,1,20
0.382,0.039,gini,None,5,2
0.384,0.025,gini,None,5,5
0.388,0.035,gini,None,5,10
0.408,0.010,gini,None,5,20
0.405,0.023,gini,None,10,2
