f1,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.600,0.023,gini,2,1,2
0.596,0.065,gini,2,1,5
0.609,0.017,gini,2,1,10
0.565,0.065,gini,2,1,20
0.580,0.059,gini,2,5,2
0.604,0.041,gini,2,5,5
0.589,0.053,gini,2,5,10
0.580,0.066,gini,2,5,20
0.619,0.048,gini,2,10,2
0.610,0.024,gini,2,10,5
0.589,0.091,gini,2,10,10
0.607,0.038,gini,2,10,20
0.595,0.076,gini,2,20,2
0.570,0.081,gini,2,20,5
0.577,0.072,gini,2,20,10
0.593,0.025,gini,2,20,20
0.596,0.087,gini,5,1,2
0.611,0.061,gini,5,1,5
0.589,0.050,gini,5,1,10
0.621,0.011,gini,5,1,20
0.597,0.022,gini,5,5,2
0.591,0.050,gini,5,5,5
0.583,0.039,gini,5,5,10
0.579,0.019,gini,5,5,20
0.602,0.055,gini,5,10,2
0.613,0.042,gini,5,10,5
0.590,0.048,gini,5,10,10
0.607,0.047,gini,5,10,20
0.590,0.038,gini,5,20,2
0.597,0.057,gini,5,20,5
0.596,0.057,gini,5,20,10
0.590,0.053,gini,5,20,20
0.564,0.023,gini,10,1,2
0.564,0.041,gini,10,1,5
0.571,0.033,gini,10,1,10
0.556,0.025,gini,10,1,20
0.560,0.014,gini,10,5,2
0.554,0.028,gini,10,5,5
0.561,0.031,gini,10,5,10
0.564,0.018,gini,10,5,20
0.558,0.014,gini,10,10,2
0.559,0.015,gini,10,10,5
0.565,0.039,gini,10,10,10
0.561,0.009,gini,10,10,20
0.556,0.027,gini,10,20,2
0.547,0.014,gini,10,20,5
0.567,0.025,gini,10,20,10
0.552,0.027,gini,10,20,20
0.530,0.019,gini,15,1,2
0.526,0.016,gini,15,1,5
0.534,0.017,gini,15,1,10
0.520,0.017,gini,15,1,20
0.538,0.019,gini,15,5,2
0.523,0.014,gini,15,5,5
0.518,0.009,gini,15,5,10
0.530,0.015,gini,15,5,20
0.529,0.011,gini,15,10,2
0.527,0.011,gini,15,10,5
0.534,0.012,gini,15,10,10
0.533,0.019,gini,15,10,20
0.542,0.013,gini,15,20,2
0.537,0.017,gini,15,20,5
0.532,0.013,gini,15,20,10
0.539,0.015,gini,15,20,20
0.502,0.008,gini,None,1,2
0.505,0.005,gini,None,1,5
0.510,0.011,gini,None,1,10
0.511,0.018,gini,None,1,20
0.510,0.012,gini,None,5,2
0.510,0.009,gini,None,5,5
0.513,0.011,gini,None,5,10
