,Unnamed: 0,RefId,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,AAAP,AACP,ARAP,ARCP,CAAP,CACP,CRAP,CRCP,BYRNO,VNST,VehBCost,WarrantyCost,PurchYear,PurchMonth,PurchDay,PurchWeekDay,EngineLiters,NumCylinders,4X4,WheelDrive,NumDoors,PCA1,PCA2,IsBadBuy
0,3267,9484,6/29/2009,MANHEIM,2004.0,5.0,KIA,SPECTRA,EX,SEDAN,GOLD,AUTO,Covers,71548,KOREAN,3161.0,3916.0,3914.0,4729.0,2767.0,3547.0,3488.0,4331.0,20740,NC,4635.0,569,2009.0,6.0,29.0,Monday,2.0,4.0,0,0,4.0,-12583.504418380417,956.1919481108342,0
1,48011,47185,9/15/2009,MANHEIM,2005.0,5.0,CHRYSLER,ION,Tou,SEDAN,SILVER,AUTO,Covers,83039,AMERICAN,3947.0,4966.0,7184.0,8670.0,4389.0,5557.0,7394.0,8767.0,22808,TX,9350.0,1503,2010.0,1.0,21.0,Tuesday,3.1790495473435243,8.0,0,0,4.0,2577.708270454991,-1445.4842667216985,0
2,9050,52559,11/3/2010,OTHER,2008.0,2.0,MAZDA,MAZDA3,i,SPORT,SILVER,AUTO,Alloy,49500,JAPANESE,10477.0,12219.0,14258.0,15599.0,10959.0,12690.0,14446.0,15952.0,99761,NH,7965.0,764,2010.0,11.0,3.0,Wednesday,4.2781568323443535,7.0,0,0,4.0,14832.457604328458,465.5524499763929,0
3,42807,52150,7/30/2010,MANHEIM,2007.0,3.0,CHRYSLER,PT CRUISER,LE,SEDAN,SILVER,AUTO,Covers,95093,AMERICAN,10262.0,11101.0,13945.0,14949.0,10037.0,11035.0,14157.0,15564.0,18822,TX,4735.0,1630,2010.0,3.0,24.0,Friday,1.6609411838715031,4.0,0,0,4.0,14200.129832716008,-586.2426032579858,0
4,36341,36222,6/3/2009,MANHEIM,2004.0,5.0,KIA,OPTIMA,EX,SEDAN,BLACK,AUTO,Alloy,59251,KOREAN,3402.0,4773.0,4174.0,5655.0,3402.0,4773.0,4174.0,5655.0,20207,TX,5060.0,671,2009.0,6.0,3.0,Wednesday,2.4,4.0,0,0,4.0,-10380.306455820692,1254.0541651628744,0
5,12176,55930,11/24/2009,OTHER,2008.0,1.0,CHRYSLER,AVENGER,SE,SEDAN,SILVER,AUTO,Covers,44214,AMERICAN,7760.0,8497.0,8881.0,9677.0,7910.0,8503.0,11623.0,12118.0,99761,AZ,7800.0,834,2009.0,11.0,24.0,Tuesday,3.3611251757747365,4.0,0,0,4.0,3505.2945077836835,1047.0101596272318,0
6,4151,32669,3/24/2009,MANHEIM,2006.0,3.0,FORD,EXPLORER,XLT,SUV,BROWN,AUTO,Alloy,72523,AMERICAN,12733.0,14701.0,14252.0,16377.0,12567.0,14430.0,14072.0,16084.0,22916,CO,9415.0,1740,2009.0,3.0,24.0,Tuesday,4.0,6.0,YES,0,4.0,17574.287493108408,3265.6609988801983,0
7,21679,15596,7/20/2010,OTHER,2007.0,3.0,GM,IMPALA,LS,SEDAN,GREY,AUTO,Covers,58058,AMERICAN,8052.0,9103.0,11583.0,12901.0,8035.0,9121.0,11608.0,12880.0,99750,MD,7900.0,1500,2010.0,7.0,20.0,Tuesday,3.2296965496299017,8.0,0,0,4.0,6656.7319560178075,-817.0665195616675,0
8,15829,42769,12/16/2010,MANHEIM,2005.0,5.0,CHRYSLER,DURANGO,Lim,SUV,BLUE,AUTO,Alloy,94869,AMERICAN,8924.0,11592.0,12373.0,14962.0,9101.0,10997.0,12806.0,14871.0,52598,SC,9315.0,1630,2010.0,12.0,16.0,Thursday,5.7,8.0,NO,0,4.0,11039.124832555764,-173.67125568563236,0
9,9270,14072,3/18/2009,MANHEIM,2006.0,3.0,FORD,TAURUS,SE,SEDAN,GREEN,AUTO,Special,60501,AMERICAN,5304.0,6358.0,6228.0,7367.0,4863.0,5864.0,5752.0,6833.0,16926,CA,5255.0,825,2009.0,3.0,18.0,Wednesday,3.0,6.0,0,0,4.0,-5970.711036407303,1428.4880109231622,0
10,45315,9006,2/9/2009,MANHEIM,2003.0,7.0,NISSAN,ION,SE,UTILITY,BLUE,AUTO,Alloy,52224,JAPANESE,3146.0,4165.0,6099.0,7440.0,3048.0,4138.0,6209.0,7539.0,21973,NC,8500.0,505,2010.0,6.0,16.0,Monday,3.3,6.0,NO,0,5.0,620.5393792530201,2056.055257939313,0
11,53912,71116,3/4/2010,ADESA,2007.0,3.0,FORD,TRAILBLAZER,LS,SEDAN,WHITE,AUTO,Covers,55516,AMERICAN,6475.0,7756.0,10953.0,12187.0,6881.0,7880.0,10485.0,11828.0,20833,TX,5615.0,920,2010.0,11.0,4.0,Thursday,3.9,6.0,0,0,4.0,-3983.910021588841,-1877.3607963561637,0
12,40257,35790,1/14/2010,MANHEIM,2004.0,6.0,FORD,EXPLORER,XLT,SUV,GOLD,AUTO,Alloy,62658,AMERICAN,5533.0,6742.0,9189.0,10394.0,6693.0,7882.0,10234.0,11485.0,21973,VA,7375.0,1020,2010.0,1.0,14.0,Thursday,4.0,6.0,NO,0,4.0,1338.0817843597576,-1042.0712638824616,0
13,46463,20028,2/22/2010,OTHER,2004.0,5.0,GM,ENDEAVOR,SE,SEDAN,PURPLE,AUTO,Covers,69260,AMERICAN,3191.0,4194.0,3946.0,5030.0,2873.0,3781.0,3603.0,4583.0,21053,CA,4990.0,728,2009.0,2.0,18.0,Monday,2.4,4.0,0,0,4.0,2117.2728373074297,-539.8619207992497,0
14,7695,54419,7/22/2010,MANHEIM,2007.0,3.0,CHRYSLER,SEBRING,Bas,SEDAN,BLACK,AUTO,Covers,53813,AMERICAN,7415.0,8209.0,11128.0,11872.0,7820.0,8592.0,12183.0,12775.0,99750,NJ,8000.0,1003,2010.0,7.0,22.0,Thursday,4.1737933611652585,6.0,0,0,4.0,5527.9672898017025,-1187.6323471219905,0
15,45295,42765,12/16/2010,MANHEIM,2005.0,5.0,GM,MAZDA5,ZX4,SEDAN,SILVER,MANUAL,Covers,85460,AMERICAN,3920.0,5019.0,7330.0,8272.0,3788.0,4752.0,7226.0,8018.0,52598,SC,7810.0,2152,2010.0,8.0,4.0,Thursday,4.083655532498652,7.0,0,0,4.0,-3719.695454907603,1716.8616562034672,0
16,35270,17538,9/21/2010,MANHEIM,2007.0,3.0,CHRYSLER,CHARGER,Bas,SEDAN,GREY,AUTO,Covers,78728,AMERICAN,10217.0,11914.0,14247.0,15780.0,9734.0,11309.0,13832.0,15467.0,52644,TX,9915.0,1389,2010.0,9.0,21.0,Tuesday,3.5,6.0,0,0,4.0,13485.925958519538,-666.3064907690729,0
17,45759,69011,2/12/2010,ADESA,2006.0,4.0,GM,ODYSSEY,LS,SEDAN,GREY,AUTO,Alloy,70300,AMERICAN,6299.0,7546.0,9965.0,11188.0,5814.0,6982.0,9294.0,10662.0,52117,TN,8225.0,1974,2010.0,11.0,11.0,Friday,4.661528715737328,4.0,0,0,4.0,41180.521471037355,610.5498931057726,0
18,15635,1907,10/12/2009,ADESA,2001.0,8.0,FORD,ESCAPE,XLT,SUV,WHITE,AUTO,Alloy,72149,AMERICAN,3712.0,4796.0,4509.0,5680.0,3319.0,4060.0,6217.0,6961.0,19638,FL,5500.0,1220,2009.0,10.0,12.0,Monday,3.0,6.0,NO,0,4.0,-9100.568633361498,150.0993982195192,0
19,25988,30005,4/26/2010,MANHEIM,2006.0,4.0,GM,VIBE,Bas,WAGON,WHITE,AUTO,Covers,75426,AMERICAN,6453.0,7831.0,9596.0,11536.0,5857.0,7257.0,8868.0,10543.0,10315,FL,8030.0,569,2010.0,4.0,26.0,Monday,1.4553100471033988,6.0,0,0,4.0,1234.02769012589,-1082.452028463151,0
20,52327,5301,1/12/2010,MANHEIM,2004.0,6.0,KIA,ACCENT,SES,SEDAN,SILVER,AUTO,Covers,39852,KOREAN,3423.0,4585.0,6973.0,8615.0,3220.0,4080.0,5891.0,7013.0,835,AZ,6290.0,462,2010.0,9.0,10.0,Tuesday,2.3955610879697584,6.0,0,0,4.0,11610.817435815688,2905.4233523857674,0
21,2462,6748,8/3/2010,MANHEIM,2006.0,4.0,CHRYSLER,STRATUS,SXT,SEDAN,WHITE,AUTO,Alloy,82491,AMERICAN,4464.0,5394.0,7185.0,8483.0,2368.0,2823.0,7015.0,7304.0,835,AZ,4940.0,1503,2010.0,8.0,3.0,Tuesday,1.9670241863031157,6.0,0,0,4.0,-6778.37492479647,-2745.124293265249,0
22,49746,51792,7/20/2010,MANHEIM,2005.0,5.0,CHRYSLER,IMPALA,Edd,SUV,GREEN,AUTO,Alloy,94120,AMERICAN,11030.0,12619.0,16212.0,17784.0,12601.0,14786.0,16739.0,19368.0,99750,CO,9700.0,1918,2010.0,1.0,6.0,Tuesday,5.4,8.0,YES,0,4.0,-14637.776670202815,1108.0898014671013,0
