recall,std_dev,learning_rate,n_estimators
0.258,0.033,0.1,5
0.258,0.033,0.1,10
0.250,0.040,0.1,25
0.244,0.032,0.1,50
0.243,0.032,0.1,100
0.258,0.033,0.25,5
0.244,0.031,0.25,10
0.242,0.031,0.25,25
0.244,0.031,0.25,50
0.244,0.030,0.25,100
0.223,0.076,0.5,5
0.244,0.032,0.5,10
0.242,0.028,0.5,25
0.243,0.031,0.5,50
0.241,0.031,0.5,100
0.244,0.031,0.75,5
0.243,0.031,0.75,10
0.243,0.031,0.75,25
0.243,0.032,0.75,50
0.238,0.033,0.75,100
0.244,0.032,1,5
0.243,0.029,1,10
0.244,0.034,1,25
0.242,0.031,1,50
0.240,0.035,1,100
