recall,std_dev,learning_rate,n_estimators
0.258,0.033,0.1,5
0.258,0.033,0.1,10
0.433,0.011,0.1,25
0.503,0.059,0.1,50
0.543,0.049,0.1,100
0.292,0.161,0.25,5
0.480,0.077,0.25,10
0.524,0.046,0.25,25
0.552,0.044,0.25,50
0.567,0.041,0.25,100
0.440,0.032,0.5,5
0.520,0.053,0.5,10
0.567,0.041,0.5,25
0.571,0.047,0.5,50
0.576,0.040,0.5,100
0.555,0.135,0.75,5
0.562,0.089,0.75,10
0.587,0.048,0.75,25
0.579,0.049,0.75,50
0.583,0.045,0.75,100
0.564,0.108,1,5
0.565,0.077,1,10
0.590,0.043,1,25
0.590,0.054,1,50
0.585,0.048,1,100
