f1,std_dev,learning_rate,n_estimators
0.660,0.019,0.1,5
0.660,0.019,0.1,10
0.640,0.023,0.1,25
0.620,0.018,0.1,50
0.621,0.010,0.1,100
0.647,0.055,0.25,5
0.634,0.018,0.25,10
0.619,0.005,0.25,25
0.614,0.009,0.25,50
0.613,0.009,0.25,100
0.626,0.025,0.5,5
0.614,0.018,0.5,10
0.607,0.011,0.5,25
0.608,0.010,0.5,50
0.602,0.010,0.5,100
0.621,0.022,0.75,5
0.597,0.014,0.75,10
0.596,0.017,0.75,25
0.593,0.009,0.75,50
0.594,0.007,0.75,100
0.587,0.043,1,5
0.591,0.026,1,10
0.592,0.020,1,25
0.591,0.010,1,50
0.588,0.009,1,100
