f1,std_dev,n_neighbors,weights
0.518,0.007,1,uniform
0.518,0.007,1,distance
0.481,0.008,4,uniform
0.505,0.009,4,distance
0.481,0.012,7,uniform
0.482,0.012,7,distance
0.471,0.003,10,uniform
0.478,0.005,10,distance
0.471,0.002,13,uniform
0.471,0.004,13,distance
0.468,0.003,16,uniform
0.471,0.004,16,distance
0.469,0.003,19,uniform
0.469,0.004,19,distance
0.467,0.001,22,uniform
0.468,0.002,22,distance
0.467,0.001,25,uniform
0.468,0.002,25,distance
0.467,0.000,28,uniform
0.467,0.001,28,distance
