f1,std_dev,criterion,max_depth,min_samples_split,min_samples_leaf
0.606,0.013,gini,2,1,2
0.608,0.016,gini,2,1,5
0.600,0.020,gini,2,1,10
0.615,0.033,gini,2,1,20
0.615,0.033,gini,2,5,2
0.603,0.023,gini,2,5,5
0.615,0.034,gini,2,5,10
0.602,0.032,gini,2,5,20
0.613,0.038,gini,2,10,2
0.617,0.033,gini,2,10,5
0.602,0.023,gini,2,10,10
0.607,0.020,gini,2,10,20
0.607,0.023,gini,2,20,2
0.615,0.033,gini,2,20,5
0.602,0.024,gini,2,20,10
0.606,0.040,gini,2,20,20
0.608,0.055,gini,5,1,2
0.595,0.056,gini,5,1,5
0.575,0.031,gini,5,1,10
0.614,0.026,gini,5,1,20
0.606,0.025,gini,5,5,2
0.586,0.062,gini,5,5,5
0.609,0.055,gini,5,5,10
0.588,0.042,gini,5,5,20
0.579,0.034,gini,5,10,2
0.601,0.057,gini,5,10,5
0.595,0.049,gini,5,10,10
0.606,0.041,gini,5,10,20
0.626,0.034,gini,5,20,2
0.583,0.047,gini,5,20,5
0.597,0.046,gini,5,20,10
0.606,0.034,gini,5,20,20
0.568,0.021,gini,10,1,2
0.570,0.027,gini,10,1,5
0.568,0.035,gini,10,1,10
0.572,0.018,gini,10,1,20
0.577,0.019,gini,10,5,2
0.570,0.021,gini,10,5,5
0.567,0.016,gini,10,5,10
0.569,0.019,gini,10,5,20
0.573,0.012,gini,10,10,2
0.580,0.026,gini,10,10,5
0.580,0.025,gini,10,10,10
0.574,0.021,gini,10,10,20
0.575,0.012,gini,10,20,2
0.586,0.018,gini,10,20,5
0.576,0.017,gini,10,20,10
0.585,0.026,gini,10,20,20
0.566,0.031,gini,15,1,2
0.571,0.012,gini,15,1,5
0.573,0.009,gini,15,1,10
0.570,0.014,gini,15,1,20
0.571,0.018,gini,15,5,2
0.571,0.019,gini,15,5,5
0.562,0.010,gini,15,5,10
0.570,0.021,gini,15,5,20
0.571,0.013,gini,15,10,2
0.571,0.011,gini,15,10,5
0.571,0.009,gini,15,10,10
0.568,0.014,gini,15,10,20
0.573,0.015,gini,15,20,2
0.573,0.016,gini,15,20,5
0.576,0.017,gini,15,20,10
0.573,0.011,gini,15,20,20
0.607,0.013,gini,None,1,2
0.605,0.024,gini,None,1,5
0.601,0.019,gini,None,1,10
0.603,0.012,gini,None,1,20
0.599,0.012,gini,None,5,2
0.596,0.013,gini,None,5,5
0.600,0.019,gini,None,5,10
0.596,0.014,gini,None,5,20
0.590,0.007,gini,None,10,2
0.596,0.013,gini,None,10,5
0.594,0.016,gini,None,10,10
0.597,0.013,gini,None,10,20
0.590,0.013,gini,None,20,2
0.581,0.006,gini,None,20,5
0.586,0.014,gini,None,20,10
0.587,0.015,gini,None,20,20
0.608,0.016,entropy,2,1,2
0.613,0.037,entropy,2,1,5
0.601,0.024,entropy,2,1,10
0.610,0.016,entropy,2,1,20
0.603,0.019,entropy,2,5,2
0.598,0.020,entropy,2,5,5
0.596,0.022,entropy,2,5,10
0.602,0.025,entropy,2,5,20
0.603,0.048,entropy,2,10,2
0.604,0.023,entropy,2,10,5
0.602,0.020,entropy,2,10,10
0.612,0.040,entropy,2,10,20
0.603,0.022,entropy,2,20,2
0.607,0.016,entropy,2,20,5
0.603,0.031,entropy,2,20,10
0.598,0.022,entropy,2,20,20
0.610,0.033,entropy,5,1,2
0.593,0.051,entropy,5,1,5
0.599,0.046,entropy,5,1,10
0.581,0.066,entropy,5,1,20
0.609,0.033,entropy,5,5,2
0.609,0.031,entropy,5,5,5
0.611,0.046,entropy,5,5,10
0.610,0.046,entropy,5,5,20
0.588,0.070,entropy,5,10,2
0.601,0.051,entropy,5,10,5
0.590,0.062,entropy,5,10,10
0.584,0.046,entropy,5,10,20
0.588,0.041,entropy,5,20,2
0.585,0.060,entropy,5,20,5
0.608,0.081,entropy,5,20,10
0.589,0.052,entropy,5,20,20
0.568,0.028,entropy,10,1,2
0.566,0.009,entropy,10,1,5
0.566,0.016,entropy,10,1,10
0.571,0.024,entropy,10,1,20
0.574,0.026,entropy,10,5,2
0.576,0.028,entropy,10,5,5
0.566,0.017,entropy,10,5,10
0.590,0.021,entropy,10,5,20
0.575,0.008,entropy,10,10,2
0.570,0.016,entropy,10,10,5
0.586,0.023,entropy,10,10,10
0.568,0.017,entropy,10,10,20
0.576,0.025,entropy,10,20,2
0.577,0.021,entropy,10,20,5
0.582,0.024,entropy,10,20,10
0.579,0.024,entropy,10,20,20
0.566,0.016,entropy,15,1,2
0.570,0.026,entropy,15,1,5
0.569,0.012,entropy,15,1,10
0.567,0.018,entropy,15,1,20
0.564,0.019,entropy,15,5,2
0.568,0.012,entropy,15,5,5
0.569,0.025,entropy,15,5,10
0.571,0.013,entropy,15,5,20
0.571,0.020,entropy,15,10,2
0.570,0.009,entropy,15,10,5
0.560,0.012,entropy,15,10,10
0.578,0.034,entropy,15,10,20
0.568,0.027,entropy,15,20,2
0.574,0.012,entropy,15,20,5
0.569,0.009,entropy,15,20,10
0.570,0.017,entropy,15,20,20
0.610,0.021,entropy,None,1,2
0.608,0.012,entropy,None,1,5
0.609,0.013,entropy,None,1,10
0.604,0.011,entropy,None,1,20
0.604,0.006,entropy,None,5,2
0.608,0.015,entropy,None,5,5
0.606,0.016,entropy,None,5,10
0.598,0.015,entropy,None,5,20
0.597,0.011,entropy,None,10,2
0.600,0.016,entropy,None,10,5
0.598,0.005,entropy,None,10,10
0.603,0.013,entropy,None,10,20
0.583,0.018,entropy,None,20,2
0.590,0.009,entropy,None,20,5
0.594,0.012,entropy,None,20,10
0.586,0.010,entropy,None,20,20
