recall,std_dev,criterion,max_depth,min_samples_split,min_samples_leaf
0.519,0.046,gini,2,1,2
0.489,0.049,gini,2,1,5
0.551,0.171,gini,2,1,10
0.532,0.159,gini,2,1,20
0.539,0.156,gini,2,5,2
0.514,0.174,gini,2,5,5
0.505,0.086,gini,2,5,10
0.515,0.071,gini,2,5,20
0.503,0.075,gini,2,10,2
0.504,0.025,gini,2,10,5
0.520,0.086,gini,2,10,10
0.531,0.155,gini,2,10,20
0.505,0.148,gini,2,20,2
0.501,0.044,gini,2,20,5
0.511,0.019,gini,2,20,10
0.544,0.138,gini,2,20,20
0.577,0.081,gini,5,1,2
0.561,0.157,gini,5,1,5
0.528,0.114,gini,5,1,10
0.544,0.088,gini,5,1,20
0.498,0.074,gini,5,5,2
0.571,0.124,gini,5,5,5
0.548,0.129,gini,5,5,10
0.525,0.059,gini,5,5,20
0.510,0.102,gini,5,10,2
0.561,0.103,gini,5,10,5
0.548,0.147,gini,5,10,10
0.599,0.171,gini,5,10,20
0.585,0.139,gini,5,20,2
0.545,0.112,gini,5,20,5
0.564,0.155,gini,5,20,10
0.546,0.058,gini,5,20,20
0.579,0.068,gini,10,1,2
0.585,0.108,gini,10,1,5
0.545,0.060,gini,10,1,10
0.578,0.059,gini,10,1,20
0.562,0.133,gini,10,5,2
0.556,0.108,gini,10,5,5
0.570,0.033,gini,10,5,10
0.581,0.105,gini,10,5,20
0.579,0.054,gini,10,10,2
0.580,0.050,gini,10,10,5
0.582,0.018,gini,10,10,10
0.564,0.066,gini,10,10,20
0.601,0.054,gini,10,20,2
0.581,0.084,gini,10,20,5
0.579,0.060,gini,10,20,10
0.613,0.074,gini,10,20,20
0.580,0.029,gini,15,1,2
0.600,0.044,gini,15,1,5
0.573,0.031,gini,15,1,10
0.580,0.015,gini,15,1,20
0.584,0.038,gini,15,5,2
0.581,0.038,gini,15,5,5
0.583,0.043,gini,15,5,10
0.591,0.045,gini,15,5,20
0.589,0.018,gini,15,10,2
0.586,0.047,gini,15,10,5
0.585,0.021,gini,15,10,10
0.592,0.036,gini,15,10,20
0.597,0.028,gini,15,20,2
0.605,0.039,gini,15,20,5
0.603,0.040,gini,15,20,10
0.596,0.028,gini,15,20,20
0.592,0.051,gini,None,1,2
0.597,0.026,gini,None,1,5
