recall,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.258,0.033,gini,2,1,2
0.258,0.033,gini,2,1,5
0.258,0.033,gini,2,1,10
0.258,0.033,gini,2,1,20
0.258,0.033,gini,2,5,2
0.258,0.033,gini,2,5,5
0.258,0.033,gini,2,5,10
0.258,0.033,gini,2,5,20
0.258,0.033,gini,2,10,2
0.258,0.033,gini,2,10,5
0.258,0.033,gini,2,10,10
0.258,0.033,gini,2,10,20
0.258,0.033,gini,2,20,2
0.258,0.033,gini,2,20,5
0.258,0.033,gini,2,20,10
0.258,0.033,gini,2,20,20
0.236,0.028,gini,5,1,2
0.236,0.028,gini,5,1,5
0.235,0.029,gini,5,1,10
0.236,0.030,gini,5,1,20
0.235,0.027,gini,5,5,2
0.236,0.027,gini,5,5,5
0.236,0.027,gini,5,5,10
0.237,0.029,gini,5,5,20
0.234,0.025,gini,5,10,2
0.234,0.025,gini,5,10,5
0.234,0.025,gini,5,10,10
0.234,0.025,gini,5,10,20
0.237,0.032,gini,5,20,2
0.237,0.032,gini,5,20,5
0.237,0.032,gini,5,20,10
0.237,0.032,gini,5,20,20
0.247,0.027,gini,10,1,2
0.244,0.031,gini,10,1,5
0.242,0.030,gini,10,1,10
0.245,0.034,gini,10,1,20
0.249,0.030,gini,10,5,2
0.249,0.030,gini,10,5,5
0.247,0.030,gini,10,5,10
0.249,0.031,gini,10,5,20
0.249,0.025,gini,10,10,2
0.248,0.022,gini,10,10,5
0.249,0.026,gini,10,10,10
0.249,0.022,gini,10,10,20
0.244,0.023,gini,10,20,2
0.244,0.023,gini,10,20,5
0.244,0.023,gini,10,20,10
0.244,0.023,gini,10,20,20
0.279,0.033,gini,15,1,2
0.272,0.021,gini,15,1,5
0.272,0.028,gini,15,1,10
0.265,0.029,gini,15,1,20
0.283,0.027,gini,15,5,2
0.281,0.030,gini,15,5,5
0.282,0.029,gini,15,5,10
0.274,0.036,gini,15,5,20
0.269,0.029,gini,15,10,2
0.267,0.025,gini,15,10,5
0.269,0.030,gini,15,10,10
0.269,0.026,gini,15,10,20
0.250,0.023,gini,15,20,2
0.250,0.023,gini,15,20,5
0.250,0.023,gini,15,20,10
0.250,0.023,gini,15,20,20
0.334,0.027,gini,None,1,2
0.325,0.035,gini,None,1,5
0.317,0.025,gini,None,1,10
0.295,0.027,gini,None,1,20
0.311,0.022,gini,None,5,2
0.308,0.029,gini,None,5,5
0.310,0.030,gini,None,5,10
0.288,0.033,gini,None,5,20
0.275,0.027,gini,None,10,2
0.277,0.029,gini,None,10,5
0.277,0.029,gini,None,10,10
0.278,0.030,gini,None,10,20
0.250,0.023,gini,None,20,2
0.251,0.023,gini,None,20,5
0.251,0.023,gini,None,20,10
0.250,0.023,gini,None,20,20
0.258,0.033,entropy,2,1,2
0.258,0.033,entropy,2,1,5
0.258,0.033,entropy,2,1,10
0.258,0.033,entropy,2,1,20
0.258,0.033,entropy,2,5,2
0.258,0.033,entropy,2,5,5
0.258,0.033,entropy,2,5,10
0.258,0.033,entropy,2,5,20
0.258,0.033,entropy,2,10,2
0.258,0.033,entropy,2,10,5
0.258,0.033,entropy,2,10,10
0.258,0.033,entropy,2,10,20
0.258,0.033,entropy,2,20,2
0.258,0.033,entropy,2,20,5
0.258,0.033,entropy,2,20,10
0.258,0.033,entropy,2,20,20
0.238,0.024,entropy,5,1,2
0.238,0.024,entropy,5,1,5
0.238,0.024,entropy,5,1,10
0.239,0.024,entropy,5,1,20
0.238,0.022,entropy,5,5,2
0.238,0.022,entropy,5,5,5
0.238,0.022,entropy,5,5,10
0.238,0.022,entropy,5,5,20
0.238,0.023,entropy,5,10,2
0.238,0.022,entropy,5,10,5
0.238,0.022,entropy,5,10,10
0.238,0.023,entropy,5,10,20
0.235,0.026,entropy,5,20,2
0.235,0.026,entropy,5,20,5
0.235,0.026,entropy,5,20,10
0.235,0.026,entropy,5,20,20
0.241,0.033,entropy,10,1,2
0.240,0.032,entropy,10,1,5
0.238,0.030,entropy,10,1,10
0.238,0.037,entropy,10,1,20
0.238,0.030,entropy,10,5,2
0.239,0.032,entropy,10,5,5
0.239,0.033,entropy,10,5,10
0.237,0.034,entropy,10,5,20
0.236,0.024,entropy,10,10,2
0.237,0.022,entropy,10,10,5
0.237,0.023,entropy,10,10,10
0.237,0.020,entropy,10,10,20
0.242,0.030,entropy,10,20,2
0.242,0.030,entropy,10,20,5
0.242,0.030,entropy,10,20,10
0.242,0.030,entropy,10,20,20
0.271,0.027,entropy,15,1,2
0.270,0.022,entropy,15,1,5
0.268,0.020,entropy,15,1,10
0.261,0.034,entropy,15,1,20
0.270,0.021,entropy,15,5,2
0.270,0.026,entropy,15,5,5
0.269,0.027,entropy,15,5,10
0.264,0.023,entropy,15,5,20
0.265,0.028,entropy,15,10,2
0.265,0.025,entropy,15,10,5
0.265,0.022,entropy,15,10,10
0.264,0.023,entropy,15,10,20
0.258,0.037,entropy,15,20,2
0.257,0.037,entropy,15,20,5
0.258,0.037,entropy,15,20,10
0.257,0.037,entropy,15,20,20
0.334,0.016,entropy,None,1,2
0.328,0.031,entropy,None,1,5
0.322,0.024,entropy,None,1,10
0.303,0.031,entropy,None,1,20
0.326,0.030,entropy,None,5,2
0.325,0.024,entropy,None,5,5
0.326,0.019,entropy,None,5,10
0.300,0.022,entropy,None,5,20
0.290,0.021,entropy,None,10,2
0.292,0.023,entropy,None,10,5
0.289,0.022,entropy,None,10,10
0.289,0.023,entropy,None,10,20
0.260,0.035,entropy,None,20,2
0.260,0.036,entropy,None,20,5
0.260,0.036,entropy,None,20,10
0.260,0.034,entropy,None,20,20
