f1,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.596,0.027,gini,2,1,2
0.613,0.022,gini,2,1,5
0.602,0.024,gini,2,1,10
0.594,0.014,gini,2,1,20
0.604,0.022,gini,2,5,2
0.603,0.031,gini,2,5,5
0.610,0.036,gini,2,5,10
0.608,0.017,gini,2,5,20
0.617,0.032,gini,2,10,2
0.612,0.036,gini,2,10,5
0.607,0.045,gini,2,10,10
0.603,0.033,gini,2,10,20
0.611,0.034,gini,2,20,2
0.600,0.019,gini,2,20,5
0.606,0.020,gini,2,20,10
0.600,0.028,gini,2,20,20
0.600,0.040,gini,5,1,2
0.580,0.035,gini,5,1,5
0.605,0.049,gini,5,1,10
0.594,0.051,gini,5,1,20
0.599,0.036,gini,5,5,2
0.607,0.048,gini,5,5,5
0.607,0.029,gini,5,5,10
0.609,0.049,gini,5,5,20
0.613,0.041,gini,5,10,2
0.599,0.050,gini,5,10,5
0.616,0.025,gini,5,10,10
0.598,0.016,gini,5,10,20
0.599,0.043,gini,5,20,2
0.598,0.069,gini,5,20,5
0.603,0.039,gini,5,20,10
0.608,0.058,gini,5,20,20
0.575,0.020,gini,10,1,2
0.577,0.020,gini,10,1,5
0.573,0.013,gini,10,1,10
0.573,0.013,gini,10,1,20
0.580,0.023,gini,10,5,2
0.574,0.022,gini,10,5,5
0.575,0.024,gini,10,5,10
0.576,0.012,gini,10,5,20
0.580,0.025,gini,10,10,2
0.578,0.006,gini,10,10,5
0.580,0.027,gini,10,10,10
0.579,0.026,gini,10,10,20
0.583,0.015,gini,10,20,2
0.584,0.027,gini,10,20,5
0.579,0.027,gini,10,20,10
0.575,0.038,gini,10,20,20
0.572,0.013,gini,15,1,2
0.576,0.020,gini,15,1,5
0.574,0.022,gini,15,1,10
0.576,0.022,gini,15,1,20
0.573,0.016,gini,15,5,2
0.570,0.019,gini,15,5,5
0.579,0.017,gini,15,5,10
0.580,0.025,gini,15,5,20
0.571,0.021,gini,15,10,2
0.572,0.020,gini,15,10,5
0.568,0.014,gini,15,10,10
0.571,0.016,gini,15,10,20
0.576,0.019,gini,15,20,2
0.575,0.026,gini,15,20,5
0.574,0.022,gini,15,20,10
0.577,0.026,gini,15,20,20
0.605,0.013,gini,None,1,2
0.608,0.008,gini,None,1,5
0.609,0.015,gini,None,1,10
0.600,0.012,gini,None,1,20
0.602,0.012,gini,None,5,2
0.603,0.007,gini,None,5,5
0.602,0.016,gini,None,5,10
0.595,0.015,gini,None,5,20
0.594,0.016,gini,None,10,2
0.594,0.013,gini,None,10,5
0.592,0.016,gini,None,10,10
0.594,0.010,gini,None,10,20
0.589,0.004,gini,None,20,2
0.583,0.015,gini,None,20,5
0.588,0.014,gini,None,20,10
0.582,0.007,gini,None,20,20
0.610,0.017,entropy,2,1,2
