recall,std_dev,criterion,max_depth,min_samples_split,min_samples_leaf
0.519,0.030,gini,2,1,2
0.501,0.073,gini,2,1,5
0.501,0.089,gini,2,1,10
0.495,0.069,gini,2,1,20
0.506,0.064,gini,2,5,2
0.505,0.056,gini,2,5,5
0.501,0.109,gini,2,5,10
0.506,0.057,gini,2,5,20
0.512,0.058,gini,2,10,2
0.524,0.062,gini,2,10,5
0.526,0.054,gini,2,10,10
0.507,0.057,gini,2,10,20
0.518,0.062,gini,2,20,2
0.524,0.060,gini,2,20,5
0.503,0.015,gini,2,20,10
0.499,0.079,gini,2,20,20
0.568,0.167,gini,5,1,2
0.532,0.126,gini,5,1,5
0.526,0.167,gini,5,1,10
0.573,0.064,gini,5,1,20
0.544,0.114,gini,5,5,2
0.514,0.143,gini,5,5,5
0.489,0.057,gini,5,5,10
0.497,0.098,gini,5,5,20
0.500,0.021,gini,5,10,2
0.524,0.111,gini,5,10,5
0.567,0.087,gini,5,10,10
0.512,0.141,gini,5,10,20
0.515,0.127,gini,5,20,2
0.522,0.167,gini,5,20,5
0.531,0.131,gini,5,20,10
0.565,0.137,gini,5,20,20
0.529,0.057,gini,10,1,2
0.559,0.062,gini,10,1,5
0.536,0.078,gini,10,1,10
0.548,0.039,gini,10,1,20
0.559,0.038,gini,10,5,2
0.543,0.066,gini,10,5,5
0.543,0.058,gini,10,5,10
0.570,0.045,gini,10,5,20
0.547,0.061,gini,10,10,2
0.561,0.047,gini,10,10,5
0.560,0.079,gini,10,10,10
0.551,0.089,gini,10,10,20
0.553,0.021,gini,10,20,2
0.536,0.072,gini,10,20,5
0.555,0.075,gini,10,20,10
0.558,0.080,gini,10,20,20
0.463,0.042,gini,15,1,2
0.466,0.039,gini,15,1,5
0.467,0.046,gini,15,1,10
0.475,0.054,gini,15,1,20
0.507,0.025,gini,15,5,2
0.494,0.040,gini,15,5,5
0.473,0.082,gini,15,5,10
0.478,0.048,gini,15,5,20
0.489,0.057,gini,15,10,2
0.503,0.041,gini,15,10,5
0.479,0.053,gini,15,10,10
0.465,0.040,gini,15,10,20
0.494,0.037,gini,15,20,2
0.501,0.041,gini,15,20,5
0.485,0.042,gini,15,20,10
0.500,0.044,gini,15,20,20
0.312,0.044,gini,None,1,2
0.312,0.053,gini,None,1,5
0.316,0.033,gini,None,1,10
0.338,0.043,gini,None,1,20
0.392,0.040,gini,None,5,2
0.384,0.021,gini,None,5,5
0.391,0.025,gini,None,5,10
0.408,0.034,gini,None,5,20
0.412,0.033,gini,None,10,2
0.407,0.044,gini,None,10,5
0.400,0.051,gini,None,10,10
0.409,0.024,gini,None,10,20
0.455,0.039,gini,None,20,2
0.456,0.049,gini,None,20,5
0.451,0.027,gini,None,20,10
0.451,0.051,gini,None,20,20
0.518,0.076,entropy,2,1,2
0.518,0.062,entropy,2,1,5
0.507,0.107,entropy,2,1,10
0.514,0.120,entropy,2,1,20
0.529,0.069,entropy,2,5,2
0.529,0.068,entropy,2,5,5
0.504,0.055,entropy,2,5,10
0.511,0.058,entropy,2,5,20
0.518,0.062,entropy,2,10,2
0.512,0.037,entropy,2,10,5
0.485,0.092,entropy,2,10,10
0.511,0.060,entropy,2,10,20
0.519,0.041,entropy,2,20,2
0.526,0.072,entropy,2,20,5
0.518,0.062,entropy,2,20,10
0.517,0.063,entropy,2,20,20
0.541,0.193,entropy,5,1,2
0.530,0.184,entropy,5,1,5
0.505,0.062,entropy,5,1,10
0.578,0.119,entropy,5,1,20
0.538,0.118,entropy,5,5,2
0.557,0.171,entropy,5,5,5
0.532,0.122,entropy,5,5,10
0.590,0.117,entropy,5,5,20
0.557,0.163,entropy,5,10,2
0.530,0.127,entropy,5,10,5
0.537,0.066,entropy,5,10,10
0.584,0.105,entropy,5,10,20
0.551,0.055,entropy,5,20,2
0.561,0.104,entropy,5,20,5
0.520,0.114,entropy,5,20,10
0.528,0.081,entropy,5,20,20
0.546,0.039,entropy,10,1,2
0.516,0.088,entropy,10,1,5
0.533,0.085,entropy,10,1,10
0.556,0.070,entropy,10,1,20
0.552,0.070,entropy,10,5,2
0.552,0.046,entropy,10,5,5
0.533,0.090,entropy,10,5,10
0.532,0.048,entropy,10,5,20
0.569,0.024,entropy,10,10,2
0.531,0.043,entropy,10,10,5
0.531,0.084,entropy,10,10,10
0.568,0.064,entropy,10,10,20
0.537,0.035,entropy,10,20,2
0.531,0.059,entropy,10,20,5
0.573,0.046,entropy,10,20,10
0.523,0.043,entropy,10,20,20
0.489,0.025,entropy,15,1,2
0.492,0.027,entropy,15,1,5
0.482,0.059,entropy,15,1,10
0.491,0.075,entropy,15,1,20
0.497,0.046,entropy,15,5,2
0.490,0.049,entropy,15,5,5
0.511,0.048,entropy,15,5,10
0.513,0.050,entropy,15,5,20
0.501,0.078,entropy,15,10,2
0.509,0.041,entropy,15,10,5
0.496,0.065,entropy,15,10,10
0.504,0.047,entropy,15,10,20
0.486,0.050,entropy,15,20,2
0.496,0.017,entropy,15,20,5
0.504,0.074,entropy,15,20,10
0.506,0.042,entropy,15,20,20
0.327,0.028,entropy,None,1,2
0.323,0.039,entropy,None,1,5
0.329,0.038,entropy,None,1,10
0.356,0.039,entropy,None,1,20
0.374,0.025,entropy,None,5,2
0.375,0.029,entropy,None,5,5
0.370,0.018,entropy,None,5,10
0.377,0.034,entropy,None,5,20
0.394,0.028,entropy,None,10,2
0.394,0.044,entropy,None,10,5
0.399,0.045,entropy,None,10,10
0.387,0.054,entropy,None,10,20
0.440,0.039,entropy,None,20,2
0.439,0.047,entropy,None,20,5
0.439,0.024,entropy,None,20,10
0.440,0.007,entropy,None,20,20
