f1,std_dev,criterion,max_depth,min_samples_split,min_samples_leaf
0.596,0.073,gini,2,1,2
0.611,0.025,gini,2,1,5
0.604,0.038,gini,2,1,10
0.614,0.034,gini,2,1,20
0.589,0.070,gini,2,5,2
0.603,0.034,gini,2,5,5
0.610,0.036,gini,2,5,10
0.576,0.085,gini,2,5,20
0.617,0.032,gini,2,10,2
0.578,0.061,gini,2,10,5
0.613,0.033,gini,2,10,10
0.573,0.079,gini,2,10,20
0.593,0.055,gini,2,20,2
0.599,0.025,gini,2,20,5
0.619,0.041,gini,2,20,10
0.587,0.070,gini,2,20,20
0.592,0.065,gini,5,1,2
0.599,0.035,gini,5,1,5
0.607,0.050,gini,5,1,10
0.591,0.036,gini,5,1,20
0.595,0.052,gini,5,5,2
0.617,0.068,gini,5,5,5
0.594,0.036,gini,5,5,10
0.597,0.040,gini,5,5,20
0.589,0.048,gini,5,10,2
0.592,0.036,gini,5,10,5
0.611,0.040,gini,5,10,10
0.629,0.066,gini,5,10,20
0.562,0.030,gini,5,20,2
0.592,0.077,gini,5,20,5
0.605,0.024,gini,5,20,10
0.615,0.042,gini,5,20,20
0.559,0.013,gini,10,1,2
0.553,0.013,gini,10,1,5
0.554,0.016,gini,10,1,10
0.560,0.031,gini,10,1,20
0.547,0.022,gini,10,5,2
0.563,0.014,gini,10,5,5
0.558,0.009,gini,10,5,10
0.563,0.021,gini,10,5,20
0.555,0.017,gini,10,10,2
0.557,0.023,gini,10,10,5
0.552,0.024,gini,10,10,10
0.559,0.017,gini,10,10,20
0.548,0.016,gini,10,20,2
0.563,0.011,gini,10,20,5
0.552,0.014,gini,10,20,10
0.561,0.027,gini,10,20,20
0.523,0.022,gini,15,1,2
0.522,0.013,gini,15,1,5
0.532,0.018,gini,15,1,10
0.530,0.021,gini,15,1,20
0.525,0.022,gini,15,5,2
0.523,0.023,gini,15,5,5
0.523,0.011,gini,15,5,10
0.528,0.012,gini,15,5,20
0.530,0.013,gini,15,10,2
0.520,0.025,gini,15,10,5
0.529,0.014,gini,15,10,10
0.528,0.011,gini,15,10,20
0.546,0.018,gini,15,20,2
0.543,0.007,gini,15,20,5
0.535,0.018,gini,15,20,10
0.534,0.007,gini,15,20,20
0.501,0.013,gini,None,1,2
0.503,0.013,gini,None,1,5
0.506,0.010,gini,None,1,10
0.514,0.011,gini,None,1,20
0.514,0.011,gini,None,5,2
