recall,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.551,0.122,gini,2,1,2
0.549,0.069,gini,2,1,5
0.503,0.115,gini,2,1,10
0.524,0.073,gini,2,1,20
0.496,0.100,gini,2,5,2
0.497,0.178,gini,2,5,5
0.499,0.088,gini,2,5,10
0.554,0.192,gini,2,5,20
0.518,0.037,gini,2,10,2
0.503,0.063,gini,2,10,5
0.488,0.054,gini,2,10,10
0.545,0.140,gini,2,10,20
0.465,0.124,gini,2,20,2
0.498,0.084,gini,2,20,5
0.531,0.065,gini,2,20,10
0.553,0.130,gini,2,20,20
0.522,0.082,gini,5,1,2
0.547,0.073,gini,5,1,5
0.489,0.126,gini,5,1,10
0.506,0.046,gini,5,1,20
0.549,0.056,gini,5,5,2
0.594,0.096,gini,5,5,5
0.577,0.051,gini,5,5,10
0.526,0.058,gini,5,5,20
0.570,0.155,gini,5,10,2
0.525,0.102,gini,5,10,5
0.524,0.058,gini,5,10,10
0.508,0.136,gini,5,10,20
0.516,0.158,gini,5,20,2
0.564,0.054,gini,5,20,5
0.474,0.035,gini,5,20,10
0.542,0.120,gini,5,20,20
0.558,0.055,gini,10,1,2
0.570,0.083,gini,10,1,5
0.552,0.060,gini,10,1,10
0.573,0.013,gini,10,1,20
0.577,0.051,gini,10,5,2
0.546,0.084,gini,10,5,5
0.561,0.043,gini,10,5,10
0.576,0.054,gini,10,5,20
0.549,0.057,gini,10,10,2
0.570,0.092,gini,10,10,5
0.569,0.028,gini,10,10,10
0.552,0.043,gini,10,10,20
0.578,0.060,gini,10,20,2
0.563,0.031,gini,10,20,5
0.602,0.068,gini,10,20,10
0.580,0.114,gini,10,20,20
0.569,0.037,gini,15,1,2
0.597,0.042,gini,15,1,5
0.577,0.018,gini,15,1,10
0.592,0.059,gini,15,1,20
0.588,0.040,gini,15,5,2
0.568,0.037,gini,15,5,5
0.572,0.017,gini,15,5,10
0.581,0.031,gini,15,5,20
0.595,0.026,gini,15,10,2
0.580,0.034,gini,15,10,5
0.579,0.037,gini,15,10,10
0.584,0.021,gini,15,10,20
0.598,0.026,gini,15,20,2
0.579,0.038,gini,15,20,5
0.597,0.051,gini,15,20,10
0.614,0.051,gini,15,20,20
0.610,0.020,gini,None,1,2
0.599,0.041,gini,None,1,5
0.594,0.042,gini,None,1,10
0.600,0.017,gini,None,1,20
0.605,0.023,gini,None,5,2
0.600,0.020,gini,None,5,5
0.591,0.025,gini,None,5,10
0.585,0.031,gini,None,5,20
0.615,0.032,gini,None,10,2
0.604,0.034,gini,None,10,5
0.595,0.039,gini,None,10,10
0.601,0.031,gini,None,10,20
0.600,0.017,gini,None,20,2
0.595,0.034,gini,None,20,5
0.589,0.032,gini,None,20,10
0.593,0.013,gini,None,20,20
0.507,0.173,entropy,2,1,2
0.512,0.063,entropy,2,1,5
0.532,0.065,entropy,2,1,10
0.488,0.054,entropy,2,1,20
