f1,std_dev,n_neighbors,weights
0.521,0.010,1,uniform
0.521,0.010,1,distance
0.480,0.009,4,uniform
0.508,0.006,4,distance
0.481,0.002,7,uniform
0.486,0.005,7,distance
0.471,0.004,10,uniform
0.481,0.005,10,distance
0.471,0.005,13,uniform
0.474,0.007,13,distance
0.468,0.003,16,uniform
0.473,0.004,16,distance
0.469,0.002,19,uniform
0.470,0.004,19,distance
0.467,0.001,22,uniform
0.469,0.004,22,distance
0.467,0.001,25,uniform
0.468,0.002,25,distance
0.467,0.002,28,uniform
0.469,0.003,28,distance
