recall,std_dev,n_neighbors,weights
0.151,0.015,1,uniform
0.151,0.015,1,distance
0.017,0.008,4,uniform
0.065,0.014,4,distance
0.018,0.012,7,uniform
0.019,0.013,7,distance
0.004,0.003,10,uniform
0.013,0.006,10,distance
0.005,0.001,13,uniform
0.005,0.004,13,distance
0.002,0.003,16,uniform
0.005,0.004,16,distance
0.002,0.003,19,uniform
0.002,0.004,19,distance
0.000,0.001,22,uniform
0.001,0.002,22,distance
0.000,0.001,25,uniform
0.001,0.002,25,distance
0.000,0.000,28,uniform
0.000,0.001,28,distance
